-29,-29,-29,-30,-30,-29,-29,-29,-29,-29,-29,-29,100,0,0
-29,-29,-29,-29,-29,-29,-29,-29,-29,-28,-28,-29,100,0,0
-28,-28,-28,-29,-29,-28,-29,-29,-29,-29,-29,-29,100,0,0
-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,100,0,0
-27,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,100,0,0
-29,-29,-29,-29,-30,-29,-29,-29,-29,-29,-29,-29,100,0,0
-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,100,0,0
-29,-29,-29,-29,-29,-30,-30,-30,-30,-29,-29,-29,100,0,0
-30,-29,-29,-30,-29,-29,-29,-29,-29,-30,-30,-29,100,0,0
-29,-29,-29,-29,-30,-29,-29,-29,-29,-29,-29,-29,100,0,0
-29,-28,-28,-31,-31,-33,-33,-33,-33,-32,-32,-31,90,0,10
-32,-31,-31,-36,-36,-37,-37,-37,-39,-40,-40,-36,90,0,10
-35,-30,-30,-42,-42,-29,-29,-30,-30,-30,-30,-29,90,0,10
-31,-30,-30,-32,-32,-33,-33,-32,-32,-32,-32,-33,90,0,10
-32,-32,-32,-38,-38,-38,-38,-39,-39,-39,-38,-40,90,0,10
-40,-41,-41,-32,-32,-34,-34,-34,-34,-34,-34,-34,90,0,10
-34,-34,-34,-33,-33,-30,-30,-30,-29,-30,-30,-30,90,0,10
-30,-30,-30,-31,-31,-33,-33,-34,-35,-34,-34,-34,90,0,10
-34,-34,-34,-31,-31,-32,-32,-31,-31,-32,-35,-35,80,0,20
-32,-30,-30,-30,-37,-45,-45,-47,-47,-45,-45,-46,80,0,20
-48,-52,-42,-35,-35,-37,-37,-37,-37,-38,-38,-36,80,0,20
-36,-36,-36,-28,-28,-25,-25,-26,-26,-26,-26,-26,80,0,20
-26,-25,-24,-27,-27,-31,-31,-31,-31,-30,-30,-30,80,0,20
-30,-30,-30,-31,-31,-43,-43,-40,-40,-39,-39,-39,80,0,20
-39,-41,-41,-34,-34,-34,-34,-35,-35,-35,-35,-34,80,0,20
-34,-34,-34,-30,-30,-46,-46,-47,-45,-45,-45,-47,80,0,20
-44,-43,-43,-37,-37,-38,-38,-36,-36,-36,-36,-36,80,0,20
-37,-34,-34,-34,-34,-38,-39,-39,-40,-40,-40,-42,80,0,20
-38,-36,-36,-30,-30,-30,-30,-29,-29,-29,-29,-29,60,0,40
-29,-29,-29,-28,-28,-29,-29,-29,-29,-29,-29,-28,60,0,40
-28,-29,-29,-30,-30,-30,-30,-30,-29,-29,-29,-30,60,0,40
-36,-37,-31,-28,-37,-39,-39,-40,-40,-42,-42,-39,60,0,40
-39,-32,-32,-29,-29,-30,-30,-31,-31,-30,-30,-30,60,0,40
-30,-30,-30,-28,-28,-32,-32,-34,-34,-34,-34,-33,60,0,40
-34,-34,-28,-27,-27,-32,-32,-33,-33,-35,-35,-35,60,0,40
-35,-35,-35,-26,-26,-35,-35,-36,-36,-35,-35,-35,60,0,40
-35,-35,-35,-27,-27,-26,-26,-25,-25,-23,-23,-23,60,0,40
-24,-26,-26,-26,-26,-25,-25,-25,-25,-24,-24,-24,60,0,40
-25,-24,-24,-25,-25,-25,-25,-26,-26,-25,-25,-25,90,0,10
-25,-24,-24,-27,-27,-29,-29,-29,-29,-27,-27,-26,80,0,10
-29,-29,-29,-32,-32,-29,-29,-30,-30,-30,-29,-29,80,0,20
-29,-30,-30,-31,-31,-25,-25,-26,-26,-25,-25,-25,80,0,20
-32,-33,-33,-31,-32,-31,-31,-33,-33,-31,-31,-29,50,0,40
-30,-29,-29,-28,-28,-29,-29,-29,-29,-29,-29,-29,60,0,40
